esperanto;english
aŭgusto;August
aŭto;automobile, car
aŭtobuso;bus
aŭtuno;autumn, fall
avo;grandfather
averto;warning
Azio;Asia
banĉambro;bathroom
banejo;bathroom
bedo;bed
besto;animal, beast
biblioteko;library
biciklo;bicycle
biero;beer
bildo;picture, image
birdo;bird
brako;arm
Brazilo;Brazil, Brasil
Britio;Britain, Great Britain (modern)
Britujo;Britain, Great Britain (traditional)
buso;bus
buŝo;mouth
centro;centre, center
cirklo;circle
ĉambro;room
ĉapelo;hat
ĉielo;heaven, sky
ĉio;all, everything
Ĉinio;China, 中国, 中國 (modern)
Ĉinujo;China, 中国, 中國 (traditional)
ĉokolado;chocolate
d-ro;Dr., Doctor
decembro;December
demando;question
dento;tooth
dimanĉo;Sunday
direkto;direction
doktoro;doctor
doloro;pain
domo;house, building
dorso;back
edzo;husband
eĥo;echo
ejo;place
eko;beginning, commencement, inception, opening, outset, start
ekzemplo;example
ero;element, fragment, item, particle
estonto;future
estro;boss, chief, leader
Eŭropo;Europe
fajro;fire
falko;falcon
familio;family
februaro;February
felo;skin, hide, fur
fenestro;window
fero;iron (metal)
filo;son
fingro;finger
fiŝo;fish
flanko;side
floro;flower
flughaveno;airport
fojo;time, occasion
foriro;departure
formo;form
Francio;France (modern)
Francujo;France (traditional)
frato;brother
fraŭlo;bachelor
fromaĵo;cheese
frukto;fruit
gasto;guest
gazeto;magazine
Germanio;Germany, Deutschland (modern)
Germanujo;Germany, Deutschland (traditional)
glacio;ice
glaso;(drinking) glass
globo;globe, sphere
golo;goal (scored)
gramatiko;grammar
grupo;group
gusto;taste
ĝangalo;jungle
ĝardeno;garden
haro;(one) hair
hararo;hair
haŭto;skin, flesh
hejmo;home
Hindio;India, भारत
Hispanio;Spain, España
historio;history
homo;person, human
horo;hour
hundo;dog
Ĥinio;China, 中国, 中國
ideo;idea
idioto;idiot
ido;child, offspring
ilo;tool, means
infano;child
insekto;insect
insulo;island
intereso;interest
januaro;January
Japanlando;Japan, 日本
Japanio;Japan, 日本
jaro;year
julio;July
junio;June
ĵaŭdo;Thursday
ĵurnalo;newspaper
kafo;coffee
kampo;field, area
kapo;head
kato;cat
kaŭzo;cause
klubo;club, group
knabo;boy
kolo;neck
koloro;color
kongreso;congress, convention
koro;heart
korpo;body
korto;yard, courtyard
koverto;envelope
ksilofono;xylophone
kuko;cake
kurso;course, series of lessons
kutimo;custom, habit
lakto;milk
lando;country, land
leciono;lesson
letero;letter (correspondence)
libro;book
ligo;league, alliance
ligno;wood
lingvo;language
linio;line
lito;bed
loko;place, position
ludo;game
lundo;Monday
majo;May (month)
mano;hand
maro;sea, ocean
mardo;Tuesday
marko;sign, mark
marto;March (month)
mateno;morning
matenmanĝo;breakfast
membro;member
merkredo;Wednesday
mezo;middle
minuto;minute
momento;moment
mono;money
monato;month
mondo;world
monto;mountain
muro;wall
nacio;nation
naturo;nature
nazo;nose
neĝo;snow
nokto;night
nomo;name
nombro;number, amount
novembro;November
nubo;cloud
oktobro;October
okulo;eye
onklo;uncle
ordo;order
orelo;ear
osto;bone
ovo;egg
paco;peace
pano;bread
papero;paper
parto;part
patro;father
peco;piece, bit
persono;person
piedo;foot
pilko;ball (for playing)
plaĝo;beach
planko;floor
plezuro;pleasure, enjoyment
plumo;pen
pluvo;rain
popolo;people, nation
pordo;door
printempo;spring
problemo;problem
punkto;point, period
rajto;a right
resto;rest, remainder
rimedo;means, resource
rivero;river
robo;a dress
rondo;round, circle
rozo;rose
s-ro;Mr.
sabato;Saturday
sango;blood
seĝo;chair
semajno;week
septembro;September
sinjoro;mister, gentleman
somero;summer
speco;kind, sort
stacio;station (for bus, train, etc.)
stato;state, condition
strato;street
sukero;sugar
suno;sun
supro;top, summit
ŝipo;ship
ŝtono;stone
tablo;table
tago;day
tagmanĝo;lunch
taso;cup
tasko;task
teo;tea
teatro;a theater
tempo;time
tero;earth, ground
tipo;type, sort
uono;wok
urbo;city, town
usono;United States of America, USA
vagono;train waggon, carriage
valoro;value
vendredo;Friday
vento;wind
vespero;evening
vesto;garment, article of clothing
vetero;weather
vilaĝo;village
vino;wine
vintro;winter
viro;man
virino;woman
vitro;glass (substance)
vizaĝo;face
vojo;way, road
vorto;word
vortaro;dictionary, vocabulary
vato;Watt (as in electricity)
cent;(one) hundred, 100
centmil;(one) hundred thousand, 100000
dek;ten
du;two
kvar;four
kvin;five
mil;(one) thousand
naŭ;nine
nul;zero
ok;eight
sep;seven
ses;six
tri;three
unu;one
ĉef-;arch-, chief-
al;to, towards
antaŭ;before
apud;beside, near
ĉe;at, by
ĉi;indicates proximity ("tio" = "that", "tio ĉi" = "this")
da;of (follows quantity or measure)
de;of, from
ekster;outside, out of
el;out of, from
en;a, in, inside, into, on, per, within
inter;between, among
je;as regards, in relation to
kontraŭ;across from, against, in exchange for, opposed to, opposite, upon
krom;apart from, besides, except, except for
kun;with
laŭ;according to, along
per;by (means of), with
por;for, in order to
post;after, behind
preter;beyond, past
pri;about, concerning
pro;because of, by reason of
sen;without
sub;under, beneath
super;over, above
sur;on, upon
tra;through
trans;across, on the other side of
ĝi;it
ili;they
li;he
mi;I, me
ni;we, us
oni;one, people, "they"
si;reflexive pronoun (such as "herself")
ŝi;she
vi;you
adapti;to adapt
bedaŭri;to be sorry, to regret
cedi;to cede, to give in, to give up, to give way, to relinquish, to yield
ĉagreni;to annoy, to grieve, to trouble, to vex, to worry
fermi;to close
festi;to celebrate
imagi;to imagine
informiĝi;to be advised, to be informed, to find out
instrui;to teach
iri;to go
kanti;to sing
konduki;to lead
kuiri;to cook
ludi;to play
manĝi;to eat
manki;to be lacking, to be absent
memori;to remember
opinii;to think, to have an opinion
pagi;to pay
paroli;to speak
pasi;to pass
peni;to try, to endeavour
pensi;to think
plaĉi;to please, to be pleasing
servi;to serve
skribi;to write
soni;to sound
studi;to study
tajpi;to type
veni;to come
veturi;to travel (by vehicle: to drive, to fly, etc.)
vidi;to see
vojaĝi;to travel, to journey
agi;to act, to take action
akordi;to agree
aliĝi;to join
alveni;to arrive
aperi;to appear
atendi;to wait
aŭskulti;to listen
bani;to bathe
batali;to fight
brili;to shine, to be bright
brui;to make a noise
bruli;to burn, to be on fire
danci;to dance
daŭri;to last, to continue, to go on
deveni;to come, to derive, to originate, to result
dormi;to sleep
ebli;to be possible
ekhavi;to get
ekzerci;to exercise, to practice
enui;to be bored, to be tired of something
enuigi;to bore
enuiĝi;to get bored
erari;to err, to make a mistake
esperi;to hope
esti;to be
evolui;to evolve, to develop
fali;to fall
flugi;to fly
forigi;to do away with, to get rid of, to remove
funkcii;to function, to work
ĝoji;to be glad, to rejoice
halti;to stop
hurai;to cheer
koleri;to be angry
koleriĝi;to get angry
komuniki;to communicate
koni;to know
konsenti;to agree
korespondi;to correspond, to exchange letters
kreski;to grow
krii;to yell, to cry out
kuri;to run
kuŝi;to lie down
labori;to work
lumi;to shine, to give light
militi;to wage war
morti;to die
naĝi;to swim
okazi;to happen, to occur
paŝi;to step, to pace
plendi;to complain
plori;to cry, to weep
ridi;to laugh
ripozi;to rest
salti;to jump
sidi;to sit
silenti;to be silent
soifi;to be thirsty
stari;to stand
suferi;to suffer
sukcesi;to succeed
vivi;to live, to be alive
aĉeti;to buy
admiri;to admire
akcepti;to accept
ami;to love, to like
asisti;to assist
aŭdi;to hear
bati;to hit, to beat
bezoni;to need, to require
bonvenigi;to welcome, to greet
celi;to aim at
danki;to thank
decidi;to decide
demandi;to ask (a question)
dependi;to depend
devi;to have to, must
deziri;to wish, to desire
diri;to say
doni;to give
dubi;to doubt
ekskuzi;to excuse
ekspliki;to explain
elekti;to choose, to elect
fari;to do, to make
farti;to fare, to feel
fidi;to have faith, to trust
fini;to finish, to end (something)
forgesi;to forget
frapi;to hit, to strike
gajni;to win, to acquire
gardi;to guard, to keep, to look after, to watch over
gustumi;to taste (something)
havi;to have
havigi;to get, to procure
helpi;to help
igi;to cause, to get, to make
iĝi;to become, to get, to grow
informi;to inform
interesi;to interest, to be interesting to
interesiĝi;to be interested, to take an interest
ĵeti;to throw
kalkuli;to calculate, to count
kapti;to catch
kaŝi;to hide (something)
kisi;kiss
kolekti;to collect
komenci;to begin (something)
komerci;to trade, to do business
kompreni;to understand, to realise, to realize
konsili;to advise
konstrui;to build
kosti;to cost
kovri;to cover
kredi;to believe
kunuzi;to share
lasi;to leave, to allow
lavi;to wash
legi;to read
lerni;to learn
levi;to lift
ligi;to tie, to bind
loĝi;to live, to inhabit
meti;to put, to place
mezuri;to measure (something)
miri;to marvel, to be amazed
misuzi;to misuse
montri;to show
movi;to move (something)
naski;to give birth (to)
okupi;to occupy
ordoni;to order, to command
pardoni;to forgive, to excuse
perdi;to lose
permesi;to allow, to permit
peti;to ask (for), to request
porti;to carry
postuli;to demand, to require
povi;to be able (to)
premi;to press, to squeeze
preni;to take
prezenti;to present
provi;to try, to test
rakonti;to tell, to narrate
regi;to rule, to control
renkonti;to meet
respondi;to answer
resti;to remain, to continue to be
ricevi;to receive
rigardi;to look (at)
rimarki;to notice
rompi;to break
saluti;to greet
scii;to know
sekvi;to follow
sendi;to send
senti;to feel
serĉi;to look for, to seek
solvi;to solve
ŝajni;to seem, to appear to be
ŝanĝi;to change
ŝati;to have a high opinion of, to value, to like
teni;to hold, to have
timi;to fear
tiri;to pull
tranĉi;to cut
trinki;to drink
trovi;to find
turni;to turn
tuŝi;to touch
uzi;to use
veki;to awake (someone)
vendi;to sell
viziti;to visit
voki;to call
voli;to want to
zorgi;to care for, to take care of
ĉial;for every reason
ĉiam;always, ever
ĉiel;in every way
ĉies;everyone's
ĉiom;all, all of it
ĉiu;each, every
ĉiuj;all
ĉu;whether
fronte al;opposite
ial;for some reason
iam;at some time, ever, sometime
ie;anywhere, somewhere
iel;anyway, somehow
ien;somewhere, to some place
ies;someone's
iu;a, any, anybody, some, somebody, one, someone, some one
iu ajn;any
iuj;a few, some
ja;indeed
jen;here is (are), look!
jes;yes
kial;what for, why
kiam;when
kie;where
kiel;as, how, like
kies;of which, which one's, whose
kio;what, which
kiom;how many, how much
kiu;that, which, which one, who
la;the (definite article)
mem;-self, -selves
ne;no, not
tro;too, too much
